deal_id	deal_name	company	country	deal_stage	lifecycle_stage	arr_value	currency	owner	created_date	expected_close_date	lead_source	probability_pct	notes
DL-5000	Robert - Enterprise License	Robert Bosch GmbH	Espana	Won	mql	150434	EUR	Sarah Mueller	10/29/2023	3/8/2024	LinkedIn	90	
DL-5001	SIEMENS - Enterprise License	SIEMENS AG	Spain	discovery	MQL	49575	EUR	ana.garcia@speexx.com	12/13/2024	4/14/2025	REFERRAL	20	Follow up next week
DL-5002	Merck - Enterprise License	Merck	United States	Closed Won	closed won	50266	USD	luca.bianchi@speexx.com	3/2/2024	4/23/2024	Organic Search	70	FOLLOW UP
DL-5003	BOSCH - Enterprise License	BOSCH	england	Demo Scheduled	Closed Lost	24511	â‚¬		3/3/2023	2/6/2023	DIRECT	50	awaiting legal
DL-5004	SAP - Enterprise License	SAP SE	SPAIN	DISCOVERY	Customer	â‚¬49,910	EUR	Unassigned	10/6/2023	11/12/2023	n/a	80	
DL-5005	Zalando - Enterprise License	Zalando	The Netherlands	proposal sent	CLOSED LOST	24699	USD	sarah.mueller@speexx.com	2/19/2024	6/9/2024	linkedin		FOLLOW UP
DL-5006		Allianz SE	italy	Proposal Sent	Marketing Qualified Lead	4706 EUR	EUR	l.bianchi@speexx.com	8/5/2023	7/6/2023	n/a	10	Follow up next week
DL-5007	VW - Enterprise License	VW AG	NL	Proposal Sent	SQL	150012	EUR	ana.garcia@speexx.com	4/6/2023	3/25/2023	unknown	20	no champion
DL-5008	BOSCH - Enterprise License	BOSCH	SWITZERLAND	Closed Won	CLOSED WON	25372	EUR		1/25/2023	7/8/2023	referral	50	tbd
DL-5009	HelloFresh - Enterprise License	HelloFresh	Switzerland	Demo Scheduled	won	250013	USD	luca.bianchi@speexx.com	10/31/2024	12/20/2024	webinar	70	Awaiting legal review
DL-5010	Fresenius - Enterprise License	Fresenius	POLAND	Negotiation	Lost	â‚¬10,125		Sarah Mueller	3/17/2024	4/10/2024	LinkedIn	70	no champion
DL-5011	Allianz - Enterprise License	Allianz Se	NL	Demo Scheduled	Marketing Qualified Lead	99665	EUR	james.wilson@speexx.com	5/25/2024	7/2/2024	N/A	70	Champion identified
DL-5012	BMW - Enterprise License	BMW Group	United Kingdom	discovery	closed won	149999	EUR	luca.bianchi@speexx.com	3/28/2024	9/24/2024	Webinar	80	FOLLOW UP
DL-5013	HelloFresh - Enterprise License	HelloFresh	Poland	prospecting	MQL	25159	EUR	Unassigned	2/28/2024	7/20/2024	Email	30	Champion?
DL-5014	basf - Enterprise License	basf	england	NEGOTIATION	marketing qualified lead	49857	EUR	james.wilson@speexx.com	3/16/2023	5/26/2023	email	90	Sent proposal
